position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
21,-3.063356181285538,-2.093068242073059,2.9560839742477696,240,-17.289165496826172,-0.00020525732543319464
22,-3.371434404436271,-2.640625834465027,2.9285237139086,240,-15.700830459594727,-0.00031740395934320986
23,-3.338542109607412,-2.6805704832077026,2.9413520884316258,240,-12.82433032989502,-5.2689116273541003e-05
24,-3.0182292466250753,-2.1825385093688965,2.829150401769799,240,-15.86864948272705,-0.0009485750924795866
25,-3.1618191191101386,-2.2155224084854126,2.862559680995493,240,-12.913284301757812,-0.00014661667228210717
26,-3.2262927489325173,-2.5280075073242188,2.8414417131003713,240,-19.421663284301758,-6.6756979322235566e-06
27,-3.0474262729671864,-2.5617353916168213,2.434281717560883,240,-10.692826271057129,-6.0437283536884934e-05
28,-3.0942306925104277,-2.3820852041244507,3.076144622539321,240,-26.143396377563477,-0.0001932195882545784
29,-3.402010207810925,-2.9197674989700317,2.886971555125274,240,-12.327472686767578,-1.9192511899746023e-05
30,-3.2446795613374055,-2.1560155153274536,3.092873665562801,240,-15.107336044311523,-2.4318398573086597e-05
31,-3.287763542576067,-2.568480372428894,3.2054376597367633,240,-24.783973693847656,-0.0002661589242052287
32,-3.5110036221090315,-2.5869163274765015,3.2077748159587913,240,-19.28036880493164,-0.0006355411605909467
33,-3.3472402955712215,-2.3238221406936646,3.078316647845046,240,-17.8455867767334,-0.00019631843315437436
34,-2.979008172052833,-2.001979112625122,2.751210689697194,240,-12.426814079284668,-4.60137271147687e-05
35,-3.342337475357135,-2.542362093925476,2.97469856417535,240,-11.95767593383789,-5.61460001335945e-05
36,-3.1440827926326618,-2.149927854537964,3.2708617282223793,240,-20.324264526367188,-1.2397689715726301e-05
37,-3.0815882672657002,-2.3990145921707153,2.5985324373064955,240,-12.658272743225098,-0.00016509123088326305
38,-2.8771395699825613,-1.982478380203247,2.655843365549136,240,-10.779581069946289,-0.000359351426595822
39,-3.48583088142744,-2.563161253929138,3.3238701140019438,240,-16.52043914794922,-0.0005277194431982934
40,-3.468874985283037,-2.39016854763031,3.3289238261158567,240,-20.738248825073242,-0.00038842763751745224
41,-2.8886063857677073,-2.0652589797973633,2.7114068283108868,240,-16.596961975097656,-0.00015352977789007127
42,-3.318826523591512,-2.711379289627075,2.8442716427830006,240,-15.027071952819824,-0.0005030558677390218
43,-3.026536239124107,-2.093874454498291,2.859791061693465,240,-13.673016548156738,-0.0006621075444854796
